     Time            Drag            Lift          ZForce
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.50000000E-02  0.16005235     -0.47136312E-05 -0.73721569E-05
  0.10000000E-01  0.14383619      0.24271365E-05  0.25793081E-05
  0.15000000E-01  0.16967709     -0.49034981E-05 -0.58811310E-05
  0.20000000E-01  0.15771058     -0.37912236E-06  0.86542600E-06
  0.25000000E-01  0.17672438     -0.37389572E-05 -0.45918268E-05
  0.30000000E-01  0.16882260     -0.11595470E-05  0.54153270E-06
  0.35000000E-01  0.18335669     -0.35267657E-05 -0.30135993E-05
  0.40000000E-01  0.17800739     -0.17539301E-05  0.13166288E-05
  0.45000000E-01  0.18961729     -0.35829002E-05 -0.82238804E-06
  0.50000000E-01  0.18599126     -0.23222497E-05  0.31499368E-05
  0.55000000E-01  0.19556911     -0.38010631E-05  0.21789616E-05
  0.60000000E-01  0.19315837     -0.28951446E-05  0.60824858E-05
  0.65000000E-01  0.20126018     -0.41339199E-05  0.61445777E-05
  0.70000000E-01  0.19973351     -0.34833648E-05  0.10185075E-04
  0.75000000E-01  0.20672751     -0.45500616E-05  0.11207028E-04
  0.80000000E-01  0.20585938     -0.40879005E-05  0.15540483E-04
  0.85000000E-01  0.21200044     -0.50253226E-05  0.17485817E-04
  0.90000000E-01  0.21163226     -0.47037827E-05  0.22236210E-04
  0.95000000E-01  0.21710283     -0.55390867E-05  0.25091502E-04
  0.10000000      0.21712025     -0.53222194E-05  0.30361121E-04
  0.10500000      0.22205450     -0.60723894E-05  0.34127963E-04
  0.11000000      0.22237341     -0.59317795E-05  0.40003780E-04
  0.11500000      0.22687222     -0.66068819E-05  0.44693762E-04
  0.12000000      0.22742978     -0.65173656E-05  0.51242967E-04
  0.12500000      0.23157036     -0.71236530E-05  0.56888501E-04
  0.13000000      0.23231867     -0.70683311E-05  0.64183548E-04
  0.13500000      0.23616148     -0.76052421E-05  0.70788340E-04
  0.14000000      0.23706395     -0.75644457E-05  0.78898002E-04
  0.14500000      0.24065659     -0.80316151E-05  0.86490444E-04
  0.15000000      0.24168480     -0.79888257E-05  0.95467615E-04
  0.15500000      0.24506551     -0.83828041E-05  0.10407661E-03
  0.16000000      0.24619722     -0.83223341E-05  0.11397176E-03
  0.16500000      0.24939704     -0.86378033E-05  0.12362679E-03
  0.17000000      0.25061474     -0.85445019E-05  0.13448709E-03
  0.17500000      0.25365920     -0.87745626E-05  0.14521790E-03
  0.18000000      0.25494901     -0.86335195E-05  0.15708748E-03
  0.18500000      0.25785931     -0.87698790E-05  0.16892378E-03
  0.19000000      0.25921019     -0.85661954E-05  0.18184399E-03
  0.19500000      0.26200415     -0.85992962E-05  0.19481506E-03
  0.20000000      0.26340728     -0.83179038E-05  0.20882466E-03
  0.20500000      0.26610002     -0.82370089E-05  0.22295908E-03
  0.21000000      0.26754837     -0.78625228E-05  0.23809433E-03
  0.21500000      0.27015284     -0.76557714E-05  0.25341973E-03
  0.22000000      0.27164078     -0.71723678E-05  0.26971452E-03
  0.22500000      0.27416818     -0.68268085E-05  0.28625732E-03
  0.23000000      0.27569125     -0.62181215E-05  0.30374311E-03
  0.23500000      0.27815137     -0.57197300E-05  0.32152831E-03
  0.24000000      0.27970603     -0.49687630E-05  0.34023419E-03
  0.24500000      0.28210746     -0.43024487E-05  0.35928516E-03
  0.25000000      0.28369094     -0.33914978E-05  0.37923774E-03
  0.25500000      0.28604135     -0.25411033E-05  0.39957601E-03
  0.26000000      0.28765152     -0.14516913E-05  0.42079940E-03
  0.26500000      0.28995774     -0.39998748E-06  0.44244448E-03
  0.27000000      0.29159300      0.88719201E-06  0.46496013E-03
  0.27500000      0.29386121      0.21585134E-05  0.48792930E-03
  0.28000000      0.29552040      0.36636438E-05  0.51175597E-03
  0.28500000      0.29775619      0.51739754E-05  0.53606409E-03
  0.29000000      0.29943852      0.69181551E-05  0.56121764E-03
  0.29500000      0.30164703      0.86879787E-05  0.58687696E-03
  0.30000000      0.30335202      0.10693249E-04  0.61337027E-03
  0.30500000      0.30553797      0.12744134E-04  0.64039024E-03
  0.31000000      0.30726541      0.15033499E-04  0.66823303E-03
  0.31500000      0.30943316      0.17388096E-04  0.69662008E-03
  0.32000000      0.31118307      0.19985528E-04  0.72581876E-03
  0.32500000      0.31333668      0.22667556E-04  0.75557617E-03
  0.33000000      0.31510927      0.25597992E-04  0.78613368E-03
  0.33500000      0.31725254      0.28632210E-04  0.81726130E-03
  0.34000000      0.31904819      0.31921538E-04  0.84917696E-03
  0.34500000      0.32118467      0.35333713E-04  0.88167111E-03
  0.35000000      0.32300389      0.39008737E-04  0.91494044E-03
  0.35500000      0.32513694      0.42825596E-04  0.94879366E-03
  0.36000000      0.32698036      0.46913993E-04  0.98340820E-03
  0.36500000      0.32911315      0.51163163E-04  0.10186091E-02
  0.37000000      0.33098149      0.55693421E-04  0.10545563E-02
  0.37500000      0.33311700      0.60403350E-04  0.10910895E-02
  0.38000000      0.33501106      0.65404690E-04  0.11283525E-02
  0.38500000      0.33715215      0.70604558E-04  0.11661982E-02
  0.39000000      0.33907281      0.76106841E-04  0.12047558E-02
  0.39500000      0.34122216      0.81826447E-04  0.12438898E-02
  0.40000000      0.34317033      0.87860059E-04  0.12837161E-02
  0.40500000      0.34533051      0.94129699E-04  0.13241098E-02
